id,time,cp,cperiph,conc,evid,amt,cmt,rate,Depot,Transit1,Transit2,Transit3,Central,Peripheral,CL,Vc,Vp,Q,Ktr,Conc_central_init,Conc_periph_init,DoseCorrection
55,0.0,,,,1,3500.0,Depot,0.0,,,,,,,11.28847686,185.0203393,627.6829401,21.783689,3.567337591,0.0,0.0,
55,1.0,8.536126060608575,0.09735784254033639,10.868026948184426,0,,,0.0,98.8082058507257,352.48222703152646,628.7115493248018,747.6087812675339,1579.3569400413708,61.109856847511196,11.28847686,185.0203393,627.6829401,21.783689,3.567337591,0.0,0.0,
55,2.0,14.756225690950963,0.5285273745948749,15.958654603156406,0,,,0.0,2.7894461549167318,19.901792255294254,70.99641164154195,168.8454453838399,2730.201884127124,331.7476164090451,11.28847686,185.0203393,627.6829401,21.783689,3.567337591,0.0,0.0,
55,3.0,13.579794693319057,1.0007325541565522,9.091887549756658,0,,,0.0,0.078748620294391,0.8427687371735573,4.509660893579849,16.087482827515316,2512.538221782231,628.1427518467672,11.28847686,185.0203393,627.6829401,21.783689,3.567337591,0.0,0.0,
55,4.0,11.583865785025411,1.3951569426517765,8.322634730060306,0,,,0.0,0.00222314529992218,0.03172284413640014,0.22633219104869795,1.0765377789757622,2143.2507779510624,875.7162116645941,11.28847686,185.0203393,627.6829401,21.783689,3.567337591,0.0,0.0,
55,5.0,9.862456520652701,1.71223093334094,11.675505200880309,0,,,0.0,6.276095382418134e-5,0.0011194557133924476,0.009983694945276511,0.059358686184360465,1824.7550517826603,1074.7381463696083,11.28847686,185.0203393,627.6829401,21.783689,3.567337591,0.0,0.0,
55,6.0,8.447611534584283,1.96516235479779,14.194822307828517,0,,,0.0,1.77212950802641e-6,3.792424542969908e-5,0.0004058626850964586,0.00289569648057153,1562.9799524033776,1233.498884633316,11.28847686,185.0203393,627.6829401,21.783689,3.567337591,0.0,0.0,
55,7.0,7.288316867954629,2.1657348176345153,7.765318117478276,0,,,0.0,5.01618160342332e-8,1.2492089922211402e-6,1.559557287933444e-5,0.0001298131864801988,1348.4868598348787,1359.39479780977,11.28847686,185.0203393,627.6829401,21.783689,3.567337591,0.0,0.0,
55,8.0,6.33794265774593,2.323626652788463,3.4930423448237415,0,,,0.0,1.039552444126457e-9,3.992701596428061e-8,5.746779472293184e-7,5.470027873544225e-6,1172.6483010000957,1458.500809116984,11.28847686,185.0203393,627.6829401,21.783689,3.567337591,0.0,0.0,
55,9.0,5.558157337251871,2.4467403747080914,7.214726227025856,0,,,0.0,-7.053131412249058e-10,5.330905465325553e-10,1.9799904771300447e-8,2.1914107051212994e-7,1028.3721564211257,1535.7771920581504,11.28847686,185.0203393,627.6829401,21.783689,3.567337591,0.0,0.0,
55,10.0,4.917659075101295,2.5415259959155994,6.245225023405949,0,,,0.0,-4.838511813431978e-10,-4.4304515937031164e-10,2.3248784321305838e-10,8.032003423474876e-9,909.8669506369657,1595.2725094568839,11.28847686,185.0203393,627.6829401,21.783689,3.567337591,0.0,0.0,
55,11.0,4.390896481877839,2.613247778725659,4.845258369137031,0,,,0.0,1.247371983481571e-9,1.2479252749165917e-9,1.271129651623376e-9,1.5663111155306275e-9,812.4051569082139,1640.291048960316,11.28847686,185.0203393,627.6829401,21.783689,3.567337591,0.0,0.0,
55,12.0,3.957012568272916,2.666202107092697,3.802994426941356,0,,,0.0,3.1650415621697903e-10,3.1690366166469124e-10,3.180193901730806e-10,3.287425908750363e-10,732.1278079962193,1673.5295774807591,11.28847686,185.0203393,627.6829401,21.783689,3.567337591,0.0,0.0,
55,13.0,12.135108277068568,2.801253175117975,13.33753718927401,0,,,0.0,98.8082058507257,352.48222703152646,628.7115493248018,747.6087812675339,2245.2418508654646,1758.2988289225107,11.28847686,185.0203393,627.6829401,21.783689,3.567337591,732.1278079962193,1673.5295774807591,
55,14.0,18.059133801434673,3.257716316863219,13.571226657872273,0,,,0.0,2.7894461549167318,19.901792255294254,70.99641164154195,168.8454453838399,3341.307063405542,2044.8129557804486,11.28847686,185.0203393,627.6829401,21.783689,3.567337591,732.1278079962193,1673.5295774807591,
55,15.0,16.637240726783585,3.745150607706839,13.37600967181848,0,,,0.0,0.078748620294391,0.8427687371735573,4.509660893579849,16.087482827515316,3078.2279242852774,2350.76714456273,11.28847686,185.0203393,627.6829401,21.783689,3.567337591,732.1278079962193,1673.5295774807591,
55,16.0,14.43720154633274,4.146645078954484,16.250250226560347,0,,,0.0,0.00222314529992218,0.03172284413640014,0.22633219104869795,1.0765377789757622,2671.1759286449683,2602.778374709347,11.28847686,185.0203393,627.6829401,21.783689,3.567337591,732.1278079962193,1673.5295774807591,
55,17.0,12.545474671382038,4.464184896486007,18.292685444626272,0,,,0.0,6.276095382418134e-5,0.0011194557133924476,0.009983694945276511,0.059358686184360465,2321.1679803786606,2802.092700976351,11.28847686,185.0203393,627.6829401,21.783689,3.567337591,732.1278079962193,1673.5295774807591,
55,18.0,10.987934118721501,4.712246407974421,11.464935368245149,0,,,0.0,1.77212950802641e-6,3.792424542969908e-5,0.0004058626850964586,0.00289569648057153,2032.9912988518986,2957.7966798330485,11.28847686,185.0203393,627.6829401,21.783689,3.567337591,732.1278079962193,1673.5295774807591,
55,19.0,9.708528711793472,4.903648092284668,6.863628398871283,0,,,0.0,5.01618160342332e-8,1.2492089922211402e-6,1.559557287933444e-5,0.0001298131864801988,1796.27527635982,3077.936251780997,11.28847686,185.0203393,627.6829401,21.783689,3.567337591,732.1278079962193,1673.5295774807591,
